iter	Passed	Remaining
0	83	16529
1	124	12373
2	222	14581
3	311	15275
4	401	15671
5	492	15939
6	591	16314
7	683	16404
8	782	16604
9	882	16766
10	980	16853
11	1079	16906
12	1179	16971
13	1275	16941
14	1367	16863
15	1467	16880
16	1560	16801
17	1653	16718
18	1747	16650
19	1840	16567
20	1937	16512
21	2029	16423
22	2125	16356
23	2227	16338
24	2320	16241
25	2414	16156
26	2504	16044
27	2601	15979
28	2693	15882
29	2783	15773
30	2872	15659
31	2964	15565
32	3062	15495
33	3158	15419
34	3251	15327
35	3342	15229
36	3430	15114
37	3517	14996
38	3604	14878
39	3691	14764
40	3776	14643
41	3861	14526
42	3949	14420
43	4036	14311
44	4042	13924
45	4150	13896
46	4247	13825
47	4350	13777
48	4442	13690
49	4484	13454
50	4587	13403
51	4679	13319
52	4781	13262
53	4876	13183
54	4979	13128
55	5073	13046
56	5166	12961
57	5258	12874
58	5351	12788
59	5450	12716
60	5542	12630
61	5632	12536
62	5720	12439
63	5814	12355
64	5905	12264
65	5998	12178
66	6094	12097
67	6190	12016
68	6287	11937
69	6382	11852
70	6477	11769
71	6579	11697
72	6689	11637
73	6794	11569
74	6911	11518
75	7038	11483
76	7185	11478
77	7316	11443
78	7429	11379
79	7546	11320
80	7660	11255
81	7767	11177
82	7876	11102
83	7990	11033
84	8111	10974
85	8225	10903
86	8338	10830
87	8449	10753
88	8565	10683
89	8690	10621
90	8818	10563
91	8950	10507
92	9077	10444
93	9195	10368
94	9317	10298
95	9446	10233
96	9560	10151
97	9667	10062
98	9770	9967
99	9870	9870
100	9966	9768
101	10061	9666
102	10159	9567
103	10249	9461
104	10342	9357
105	10434	9252
106	10529	9151
107	10626	9052
108	10643	8885
109	10733	8781
110	10824	8679
111	10917	8578
112	11006	8474
113	11097	8371
114	11187	8268
115	11275	8165
116	11368	8065
117	11463	7965
118	11558	7867
119	11653	7769
120	11747	7669
121	11841	7570
122	11935	7471
123	12032	7374
124	12129	7277
125	12235	7185
126	12340	7093
127	12454	7005
128	12580	6923
129	12713	6845
130	12836	6760
131	12940	6666
132	13046	6572
133	13161	6482
134	13257	6383
135	13353	6284
136	13453	6186
137	13555	6090
138	13656	5993
139	13754	5894
140	13853	5797
141	13950	5697
142	14043	5597
143	14142	5500
144	14243	5402
145	14380	5318
146	14512	5232
147	14619	5136
148	14723	5039
149	14830	4943
150	14944	4849
151	15051	4753
152	15152	4654
153	15255	4556
154	15363	4460
155	15458	4360
156	15555	4260
157	15655	4161
158	15754	4062
159	15854	3963
160	15958	3865
161	16060	3767
162	16171	3670
163	16276	3572
164	16391	3476
165	16504	3380
166	16625	3285
167	16747	3190
168	16874	3095
169	16999	2999
170	17106	2901
171	17217	2802
172	17330	2704
173	17429	2604
174	17532	2504
175	17637	2405
176	17743	2305
177	17848	2205
178	17947	2105
179	18048	2005
180	18150	1905
181	18253	1805
182	18355	1705
183	18466	1605
184	18584	1506
185	18718	1408
186	18843	1309
187	18949	1209
188	19064	1109
189	19187	1009
190	19297	909
191	19402	808
192	19522	708
193	19624	606
194	19720	505
195	19813	404
196	19908	303
197	20004	202
198	20099	101
199	20195	0
