iter	Passed	Remaining
0	85	17086
1	166	16531
2	246	16190
3	326	15981
4	405	15822
5	506	16384
6	584	16121
7	665	15982
8	748	15876
9	830	15772
10	910	15635
11	990	15515
12	1091	15695
13	1175	15622
14	1273	15709
15	1359	15634
16	1439	15495
17	1517	15343
18	1598	15231
19	1680	15125
20	1765	15045
21	1844	14921
22	1925	14819
23	2010	14744
24	2094	14660
25	2180	14590
26	2261	14492
27	2346	14417
28	2431	14335
29	2516	14257
30	2604	14198
31	2699	14170
32	2794	14141
33	2902	14171
34	2949	13905
35	3050	13898
36	3175	13989
37	3273	13957
38	3370	13915
39	3468	13872
40	3562	13813
41	3654	13746
42	3742	13665
43	3838	13608
44	3932	13544
45	4022	13467
46	4111	13385
47	4203	13310
48	4293	13232
49	4385	13155
50	4478	13083
51	4566	12997
52	4652	12904
53	4739	12813
54	4826	12724
55	4921	12655
56	5011	12573
57	5103	12495
58	5201	12429
59	5302	12372
60	5413	12334
61	5515	12275
62	5615	12210
63	5709	12132
64	5816	12080
65	5913	12005
66	6003	11918
67	6090	11821
68	6178	11730
69	6266	11638
70	6357	11551
71	6453	11473
72	6580	11448
73	6667	11351
74	6759	11265
75	6855	11185
76	6936	11080
77	7020	10981
78	7116	10899
79	7206	10809
80	7287	10706
81	7370	10605
82	7451	10504
83	7533	10403
84	7614	10301
85	7694	10199
86	7775	10098
87	7857	10000
88	7944	9908
89	8027	9811
90	8108	9712
91	8190	9615
92	8273	9519
93	8373	9442
94	8462	9353
95	8551	9263
96	8641	9176
97	8733	9090
98	8830	9009
99	8955	8955
100	9065	8886
101	9152	8793
102	9235	8697
103	9318	8601
104	9399	8504
105	9484	8410
106	9565	8313
107	9648	8219
108	9729	8122
109	9826	8039
110	9935	7966
111	10022	7874
112	10108	7782
113	10195	7691
114	10278	7596
115	10365	7505
116	10451	7414
117	10534	7320
118	10629	7235
119	10732	7154
120	10828	7069
121	10927	6986
122	11027	6903
123	11115	6812
124	11203	6721
125	11303	6638
126	11409	6558
127	11527	6484
128	11635	6403
129	11758	6331
130	11872	6253
131	11994	6179
132	12122	6106
133	12236	6027
134	12358	5950
135	12455	5861
136	12541	5767
137	12632	5675
138	12726	5585
139	12821	5494
140	12910	5402
141	13013	5315
142	13101	5222
143	13204	5135
144	13305	5046
145	13394	4954
146	13486	4862
147	13587	4774
148	13672	4679
149	13757	4585
150	13841	4491
151	13928	4398
152	14020	4307
153	14108	4214
154	14193	4120
155	14276	4026
156	14361	3933
157	14444	3839
158	14530	3746
159	14642	3660
160	14732	3568
161	14821	3476
162	14908	3384
163	15008	3294
164	15114	3206
165	15211	3115
166	15338	3031
167	15448	2942
168	15538	2850
169	15628	2757
170	15724	2666
171	15809	2573
172	15898	2481
173	15985	2388
174	16094	2299
175	16194	2208
176	16301	2118
177	16383	2024
178	16463	1931
179	16546	1838
180	16630	1745
181	16715	1653
182	16800	1560
183	16884	1468
184	16994	1377
185	17060	1284
186	17179	1194
187	17270	1102
188	17361	1010
189	17452	918
190	17536	826
191	17627	734
192	17763	644
193	17878	552
194	17974	460
195	18072	368
196	18172	276
197	18309	184
198	18442	92
199	18550	0
